FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
Thu Jul 11 22:33:21 MSK 2024 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-11 22:38:11 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-11 22:38:11 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-11 22:38:11 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-11 22:53:18 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-11 22:53:18 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-11 22:53:18 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-11 22:54:54 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-11 22:54:54 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-11 22:54:54 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-11 22:55:14 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-11 22:55:14 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-11 22:55:14 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 13:53:44 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 13:53:44 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 13:53:44 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 13:54:22 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 13:54:22 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 13:54:22 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:03:35 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:03:35 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:03:35 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:37:43 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:37:43 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:37:43 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:39:14 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:39:14 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:39:14 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:40:29 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:40:29 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:40:29 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:41:17 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:41:17 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:41:17 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:41:59 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:41:59 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:41:59 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:42:28 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:42:28 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:42:28 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:45:50 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:45:50 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:45:50 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:46:07 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:46:07 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:46:07 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:46:47 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:46:47 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:46:47 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
2024-07-12 14:51:42 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
2024-07-12 14:51:42 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
2024-07-12 14:51:42 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
